id,type
"G. D. Liveing, M. A., Sc. D., F. R. S.",author
Tho. Woollcombe,author
Tho Savery,author
"R. D. Kleeman, D. Sc., B. A.",author
Francis Bauer,author
"Alan N. Drury, B. A.",author
Wm. Turner,author
Lord Archbishop of Dublin,author
"Sir Edward Sabine, K. C. B., F. R. S.",author
"J. A.. M\amp;apos;Clelland, M. A.",author
John Blackburn,author
"Sir Wm. Turner, F. R. S",author
Mr. Martin,author
"E. B. R. Prideaux, M. A., D. Sc.",author
"G. W. O. Howe, D. Sc., M. I. E. E.",author
Prof. J. Stanley Gardiner. F. R. S.,author
Philiberto Vernatti,author
J. J. Guest,author
Gilbert Austin,author
"Alexander Findlay, M. A., B. Sc., Ph. D.",author
N. Maskelyne,author
"E. E. Laslett, M. D. Vict",author
"Henry Robinson, B. A.",author
"Benjamin Moore, D, Sc., F. R. S.",author
"R. A. Sampson, F. R. S.",author
C. Meldrum,author
"C. T. Heycock, F. R. S.",author
"S. E. Sheppard, B. Sc.",author
"Prof Stokes, Sec. R. S.",author
"James H. Gray , M. A., B. Sc.",author
Keith Lucas,author
Mr. Muraltus,author
Miss B. Pool.,author
"W. Mason, D. Sc.",author
"J. H. Gilbert, Ph. D., F. R. S., F. C. S., F. L. S.",author
J. E. H. Gordon,author
"Richard J. Moss, F. C. S.",author
Alfred James Hipkins (of John Broadwood and Sons),author
"Sydney L. Archbutt, F. I. C.",author
Dr. Richardson,author
"A. D. Waller, M. D., F. R. S.",author
P. J. Cammidge (M. D. Lond.),author
Benjamin Allen,author
"J. Chadwick, M. Sc.",author
Earl of Berkeley,author
Grace C. Frankland,author
"W. B. Bottomley, M. A",author
"George Buchanan, M. D., F. R. S.",author
Lord Rayleigh F. R. S.,author
"William Spottiswoode, D. C. L., P. R. S.",author
"Victor Horsley, B. S., F. R. S.",author
"A. W. Reinfold, M. A., F. R. S.",author
"Professor W. H. Hicks, F. R. S.",author
W. Kellner,author
James Arthur Pollock,author
Edward Gulston,author
John Clayton,author
Deputy-Assistant Commissary-General Lempriere,author
Hugh Stackhouse,author
Dr. Nettleton,author
"Colonel Sir Sidney Burrard, K. C. S. I., R. E., F. R. S.",author
James Douglas,author
Alexander Jardine,author
Professor Owen,author
R. J. Ellery,author
Otto Olshausen,author
Charles Gray,author
C. Middleton,author
"John Spiller, F. C. S.",author
Miss Mary Beeton,author
Caroline Pellew,author
"Prof. Thorpe, F. R. S.",author
"A. G. Vernon Harcourt, F. R. S.",author
"C. Chree, Sc. D.",author
"C. H. Browning, M. D.",author
John Bishop,author
"George J. Burch, M. A.",author
"J. Burdon-Sanderson, M. D., F. R. S.",author
"Cecil H. Lander, M. Sc., A. M. I. C. E.",author
Dr. Boylston,author
"George Busk, F. R. S., V. P. Anth. Inst.",author
C. F. Varley,author
"Orme Masson, M. A., D. Sc.",author
Dr. Schlafli,author
"Professor A. Schuster, F. R. S.",author
"John Griffiths, M. A.",author
M. Grischow,author
M. Nierenstein,author
"Adrien Jaquerod, D. Sc.",author
Edmund Pitt,author
James Currie,author
W. Macnab,author
"Professor James Dewar, F. R. S.",author
"R. D. Kleeman, B. Sc.",author
"Dr. Burdon Sanderson, M. D., F. R. S.",author
"Professor Humphry, F. R. S.",author
"Arthur Willey, D. Sc.",author
James Smithson,author
W. Sidgreaves,author
Mrs. Huggins.,author
Timothy Sheldrake,author
Mr. Faraday,author
William Giffard,author
"S. Monckton Copeman, M. A., M. D., F. R. S.",author
M. Dupre,author
Dr. Gadow,author
Richard Pococke,author
"H. Levy, M. A., B. Sc., F. R. S. E.",author
Honourable George,author
Scipio Des-Moulins,author
James Dodson,author
Professor F. O. Bower.,author
Charles Konig,author
"Joseph Prestwich, M. A., F. R. S., F. G. S.",author
"James Thomson, LL. D., F. R. S.",author
"E. J. Spitta, L. R. C. Phys. Lond.",author
"A. N. Whitehead, M. A.",author
"E. Klein, M. D, F. R. S.",author
Anthony Fothergill,author
"E. H. Embley, M. D.",author
George Brownrigg,author
"E. Rutherford, M. A. ",author
N. B. Dreyer,author
Francis Sibson,author
"Prof. J. P. Hill, D. Sc., F. R. S.",author
"E. C. Hort, F.R.C.P. Ed.",author
"William Roberts, M. D.",author
"Arthur Schuster, F. R. S.",author
Samuel Warren,author
"Earl of Rosse, F. R. S.",author
"Sir Lauder Brunton, M. D., F. R. S.",author
"Walter Wahl, Ph. D. ",author
C. C. Hurst,author
"E. C. Snow, M. A., D. Sc.",author
"Staff Commander T. H. Tizard, R. N., H. M. S. \amp;quot;Triton.\amp;quot;",author
"Clement Reid, F. L. S., F. G. S.",author
W. H. Smyth,author
Dr Peirce,author
H. R. Bateman,author
J. Wood-Mason,author
"Joseph Prestwich, M. A., F. R. S., F. G. S., \amp;c.",author
"Sir Richard Owen, K. C. B., F. R. S.",author
"John S. Townsend, M. A.",author
"C. W. Andrews, D. Sc., F. R. S.",author
Dr. Desaguliers,author
"E. H. Strange, B.Sc.",author
"Sir George Biddell Airy, K. C. B., F. R. S.",author
"Sir Ray Lankester, K. C. B., F. R. S.",author
F. Le Gros Clark,author
"W. J. Sollas, D. Sc., LL. D., F. R. S.",author
"Miss J. E. Lane-Claypon, D. Sc. (Lond.)",author
"John Cleland, M. D.",author
St. George,author
"Edward Roberts, I. S. O., F. R. A. S.",author
R. Badcock,author
Maude Cuthbertson.,author
Abraham de la Pryme,author
"Spencer Umfreville Pickering, M. A., F. R. S.",author
"James Hammond, M. A.",author
John Reinhold Forster,author
"Edward Divers, M. D.",author
M. F. Osmond,author
"William Odling, M. B.",author
Charles Balguy,author
Philip Meadows Martineau,author
"E. B. R. Prideaux, M. A., B. Sc.",author
Richard Pocock,author
"Sir James Dewar, F. R. S., Hon. M. I. C. E.",author
Martin Hartop,author
Captain Cumberland,author
"Prof. W. Watson, D. Sc., F. R. S.",author
"Alfred Tribe, F. I. C.",author
Dr. Steigerthall,author
Professor Dove,author
N. Story Maskelyne,author
"Sir J. Norman Lockyer, K. C. B., LL. D., F. R. S.",author
"Sir Napier Shaw, F. R S.",author
"Dr. C. J. Martin, F. R. S.",author
"J. W. Capstick, M. A., D. Sc.",author
"J. W. Mallet, F. R. S., V. P. C. S.",author
James Thomson,author
R. Wittie,author
"Oliver Heaviside, F. R. S.",author
"Edwin S. Goodrich, F. R. S.",author
A. E. Tutton,author
Marion Greenwood,author
James Thompson,author
J. Plucker,author
"Arthur Newsholme, M. D., M. R. C. P.",author
"Dr. Royston-Pigott, F. R. S.",author
"J. Reynolds Green, F. R. S.",author
Abbate Hieronym,author
"Sir Joseph Fayrer, K. C. S. I., F. R. S.",author
"Sir Archibald Geikie, For. Sec. R. S.",author
"Prof. J. S. Gardiner, F. R. S.",author
Nicolas Witsen,author
"Professor J. Norman Lockyer, F. R. S.",author
"E. F. Armstrong, D. Sc., F. R. S.",author
"Ernest H. Starling, M. D., M. R. C. P.",author
Anthony van Leeuwenhoek,author
"Francis S. B. Francois de Chaumont, M. D.",author
"W. D. Halliburton, M. D., F. R. S. ",author
"T. G. Bonney, D. Sc., LL. D., F. R. S.",author
John Beal,author
"H. M. Vernon, M. D.",author
James Simon,author
"Sir William H. Preece, K. C. B., F. R. S.",author
"Professor J. Joly, F. R. S.",author
"Agnes Arber, D. Sc., F. L. S.",author
"C. B. Radcliffe, M. D.",author
Alessandro Burgos,author
Prof. N. Bohr (Copenhagen),author
"Professor W. G. Adams, F. R. S.",author
William Robert Grove,author
H. L. Buff,author
"Richard Threlfall, M. A., F. R. S.",author
"Thos. Andrews, F. R. SS. L. and E., M. Inst. C. E.",author
"W. J. Russell, Ph. D., F. R. S",author
"Sir W. E. Garstin, G. C. M. G.",author
G. C. Jenner,author
"John C. Gibson, M. A.",author
"George W. Walker, A. R. C. Sc., M. A.",author
Charles Babbage,author
"T. A. Henry, B. Sc. Lond.",author
James Latterman,author
R. Moon,author
Dr. Douglass,author
"Sir John Conroy, Bart., F. R. S.",author
"Alexander Wood, B. Sc.",author
Charles King,author
"Howard T. Barnes, D. Sc.",author
"Edmund J. Mills, D. Sc, F. R. S. ",author
"James C. Mcconnel, B. A.",author
William Andre,author
Edwin Richardson Blundstone,author
"George W. Walker, B. A.",author
"Dr. W. Roberts, F. R. S.",author
David Erskine Baker,author
Mr. le Monnier,author
"Francis Gotch, Hon. M. A. Oxon, B. A., B. Sc. Lond",author
"Sir James Dewar, M. A., D. Sc., LL. D., F. R. S.",author
"William John Macquorn Rankine, C. E., LL. D., F. R. SS. Lond. \amp; Edin., \amp;c.",author
Alfred Newton,author
"Rev. George Salomn, F. R. S.",author
John Locke,author
"J. W. Nicholson, D. Sc., B. A.,",author
John Barton,author
"Prof. J. G. Adami, F. R. S.",author
"Professor W. King, Sc. D.",author
Dr. F. E. Batten,author
J. Lloyd,author
H. Clerk,author
"H. Gadow, F. R. S.",author
"Prof. J. A. Fleming, F. R. S.",author
"F. G. Heathcote, M. A.",author
Ra. Calep,author
Edward Jenner,author
"Sir Archibald Geikie, F. R. S.",author
"Sir Henry Roscoe, V. P. R. S.",author
John Knox,author
Nicolas-Michael d&apos; Aragona,author
"J. Bretland Farmer, M. A.",author
J. Latham,author
Percy T. Herring,author
"Major R. Ross, F. R. S.",author
Gerard Moll,author
"G. E. Cartwright Wood, M. D., B. Sc.",author
R. Markbreiter.,author
Dr. E. Roux,author
E. Brown S\#xE9;quard,author
Tommagon Porbo Nata,author
"William Spottiswoode, D. C. L., LL. D., Pres. R. S.",author
