target,source,type
rspa_1907_0036,"Professor H. B. Dixon, F. R. S.",authored
rspa_1907_0037,"W. N. Hartley, F. R. S., D. Sc.",authored
rspa_1907_0038,"A. Mallock, F. R. S.",authored
rspa_1907_0039,"A. Mallock, F. R. S.",authored
rspa_1907_0040,"Charles H. Lees, D. Sc., F. R. S.",authored
rspa_1907_0040,"J. E. Petavel, M. Sc.",authored
rspa_1907_0041,"J. T. Bottomley, M. A., LL. D., D. Sc., F. R. S.",authored
rspa_1907_0041,F. A. King,authored
rspa_1907_0042,"T. C. Porter, M. A., D. Sc., F. R. A. S., etc.",authored
rspa_1907_0042,W. P. Colfox,authored
rspa_1907_0043,Edgar Philip Perman,authored
rspa_1907_0043,"Principal E. H. Griffiths, F. R. S.",authored
rspa_1907_0044,"Robert Robertson, M. A., D. Sc.",authored
rspa_1907_0044,"Col. Holden, R. A., F. R. S.",authored
rspa_1907_0045,"H. A. Miers, M. A., D. Sc., F. R. S.",authored
rspa_1907_0045,Miss F. Isaac,authored
rspa_1907_0046,"A. E. H. Tutton, M. A. D., Sc., F. R. S.",authored
rspa_1907_0047,"Professor Fred. T. Trouton, F. R. S.",authored
rspa_1907_0048,A. A. Campbell Swinton,authored
rspa_1907_0048,"Sir William Crookes, F. R. S.",authored
rspa_1907_0049,Dr. L. Becker,authored
rspa_1907_0050,Major J. H. Mansell,authored
rspa_1907_0050,"Sir A. Noble, F. R. S.",authored
rspa_1907_0051,"Lord Rayleigh, O. M., Pres. R. S.",authored
rspa_1907_0052,"Professor H. A. Wilson, F. R. S.",authored
rspa_1907_0052,"G. H. Martyn, B. Sc.",authored
rspa_1907_0053,"Albert Campbell, B. A.",authored
rspa_1907_0053,"Dr. R. T. Glazebrook, F. R. S.",authored
rspa_1907_0054,"The Hon. R. J. Strutt, F. R. S.",authored
rspa_1907_0055,"L. N. G. Filon, M. A., D. Sc.",authored
rspa_1907_0055,"Professor F. T. Trouton, F. R. S.",authored
rspa_1907_0056,"P. D. Innes, M. A., B. Sc.",authored
rspa_1907_0056,"Professor J. J. Thomson, F. R. S.",authored
rspa_1907_0057,"G. T. Beilby, F. R. S.",authored
rspa_1907_0058,"Richard C. Maclaurin, M. A., LL. D.",authored
rspa_1907_0058,"Professor J. Larmor, Sec. R. S.",authored
rspa_1907_0059,"A. Fowler, A. R. C. S., F. R. A. S.",authored
rspa_1907_0059,"H. L. Callendar, M. A., LL. D., F. R. S.",authored
rspa_1907_0060,"Alfred W. Porter, B. Sc.",authored
rspa_1907_0060,"Professor F. T. Trouton, F. R. S.",authored
rspa_1907_0061,"Sir James Dewar, M. A., Sc. D., LL. D., F. R. S.",authored
rspa_1907_0062,"Hon. C. A. Parsons, C. B., Sc. D., F. R. S.",authored
rspa_1907_0063,"A. Mallock, F. R. S.",authored
rspa_1907_0064,"G. F. C. Searle, M. A., F. R. S.",authored
rspa_1907_0065,"H. E. Armstrong, F. R. S.",authored
rspa_1907_0065,"J. V. Eyre, Ph. D.",authored
rspa_1907_0065,A. V. Hussey,authored
rspa_1907_0065,W. P. Paddison,authored
rspa_1907_0066,"W. Geoffrey Duffield, B. Sc. B. A.",authored
rspa_1907_0066,"Professor A. Schuster, F. R. S.",authored
rspa_1907_0067,"T. Turner, M. Sc., A. R. S. M.",authored
rspa_1907_0067,"Professor J. H. Poynting, F. R. S.",authored
rspa_1907_0068,"Professor W. E. Ayrton, F. R. S.",authored
rspa_1907_0068,"T. Mather, F. R. S.",authored
rspa_1907_0068,"F. E. Smith, A. R. C. S.",authored
rspa_1907_0069,"Charles V. Drysdale, D. Sc.",authored
rspa_1907_0069,"Silvanus P. Thompson, D. Sc., F. R. S.",authored
rspa_1907_0070,P. O. Pedersen,authored
rspa_1907_0070,"Lord Rayleigh, P. R. S.",authored
rspa_1907_0071,"T. H. Havelock, M. A., D. Sc.",authored
rspa_1907_0071,"Professor J. Larmor, Sec. R. S.",authored
rspa_1907_0072,"F. W. Aston, A. I. C.",authored
rspa_1907_0072,"Professor J. H. Poynting, F. R. S.",authored
rspa_1907_0073,"Sir Norman Lockyer, K. C. B., LL. D., Sc. D., F. R. S.",authored
rspa_1907_0074,"the Hon. R. J. Strutt, F. R. S.",authored
rspa_1907_0075,"Professor H. L. Callendar, F. R. S.",authored
rspa_1907_0075,"Professor W. E. Dalby, M. A.",authored
rspa_1907_0076,"F. E. Smith, A. R. C. Sc.",authored
rspa_1907_0076,"R. T. Glazebrook, F. R. S.",authored
rspa_1907_0077,"F. E. Smith, A. R. C. Sc.",authored
rspa_1907_0077,"T. Mather, F. R. S.",authored
rspa_1907_0077,"T. M. Lowry, D. Sc.",authored
rspa_1907_0077,"R. T. Glazebrook, F. R. S.",authored
rspa_1907_0078,"Arthur Schuster, F. R. S.",authored
rspa_1908_0001,"J. W. Mallet, F. R. S.",authored
rspa_1908_0002,"F. D. Chattaway, F. R. S.",authored
rspa_1908_0003,"Frederick Soddy, M. A.",authored
rspa_1908_0003,"Thomas D. Mackenzie, B. Sc.",authored
rspa_1908_0003,"Professor J. Larmor, Sec. R. S.",authored
rspa_1908_0004,"A. Mallock, F. R. S.",authored
rspa_1908_0005,"C. Chree, Sc. D., LL. D., F. R. S.",authored
rspa_1908_0006,"John H. Grindley, D. Sc. (Vict.)",authored
rspa_1908_0006,"A. H. Gibson, M. Sc. (Vict.)",authored
rspa_1908_0006,"Professor Horace Lamb, F. R. S.",authored
rspa_1908_0007,"George Forbes, F. R. S.",authored
rspa_1908_0008,"Charles H. Lees, D. Sc., F. R. S.",authored
rspa_1908_0009,"Sir William de W. Abney, K. C. B., F. R. S.",authored
rspa_1908_0010,"Major P. A. MacMahon, D. Sc., F. R. S.",authored
rspa_1908_0011,"Walter Noel Hartley, F. R. S., D. Sc.",authored
rspa_1908_0012,"Sir G. H. Darwin, K. C. B., F. R. S.",authored
rspa_1908_0013,"Horace Lamb, F. R. S.",authored
rspa_1908_0014,"William J. S. Lockyer, M. A., Ph. D., F. R. A. S.",authored
rspa_1908_0014,"Sir Norman Lockyer, K. C. B., LL. D., Sc. D., F. R. S.",authored
rspa_1908_0015,"the Hon. Charles A. Parsons, C. B., F. R. S.",authored
rspa_1908_0015,Alan A. Campbell Swinton.,authored
